"ID"	"smb"	"gen"	"log2"	"pVal"
"198"	7898192	"DNAJC16"	"DnaJ heat shock protein family (Hsp40) member C16"	-0.913	3.23
"199"	7899407	"SMPDL3B"	"sphingomyelin phosphodiesterase acid like 3B"	1.107	3.434
"201"	7901513	"SCP2"	"sterol carrier protein 2"	-1.297	4.031
"202"	7901592	"TCEANC2"	"transcription elongation factor A N-terminal and central domain containing 2"	-1.027	4.132
"203"	7901788	"NFIA"	"nuclear factor I A"	-0.95	3.121
"204"	7901895	"ATG4C"	"autophagy related 4C cysteine peptidase"	-1.3	3.95
"205"	7901931	"EFCAB7"	"EF-hand calcium binding domain 7"	-1.523	4.376
"206"	7902308	"FPGT-TNNI3K///FPGT"	"FPGT-TNNI3K readthrough///fucose-1-phosphate guanylyltransferase"	-1.073	3.286
"207"	7902396	"SNORD45C"	"small nucleolar RNA, C/D box 45C"	-2.06	4.738
"208"	7902565	"ADGRL2"	"adhesion G protein-coupled receptor L2"	2.68	3.682
"209"	7902634	"RPF1"	"ribosome production factor 1 homolog"	-0.86	3.174
"210"	7902850	"GBP6"	"guanylate binding protein family member 6"	-2.697	5.329
"211"	7902992	"RPAP2"	"RNA polymerase II associated protein 2"	-0.93	3.713
"213"	7907297	"FMO4"	"flavin containing monooxygenase 4"	-1.693	3.839
"214"	7907601	"BRINP2"	"BMP/retinoic acid inducible neural specific 2"	0.88	3.399
"215"	7908178	"SWT1"	"SWT1, RNA endoribonuclease homolog"	-1.273	4.78
"216"	7908347	"OCLM"	"oculomedin"	-1.147	3.429
"217"	7909877	"Mar-01"	"mitochondrial amidoxime reducing component 1"	2.247	3.847
"218"	7910001	"DEGS1"	"delta 4-desaturase, sphingolipid 1"	-1.26	3.661
"219"	7910190	"ZNF678"	"zinc finger protein 678"	-1.307	3.645
"220"	7910369	"HIST3H2BB"	"histone cluster 3, H2bb"	0.903	3.189
"221"	7911096	"EFCAB2"	"EF-hand calcium binding domain 2"	-1.967	3.847
"222"	7911233	"OR2T8"	"olfactory receptor family 2 subfamily T member 8"	0.953	3.409
"223"	7914322	"SNORD103B///SNORD103A"	"small nucleolar RNA, C/D box 103B///small nucleolar RNA, C/D box 103A"	-0.803	3.197
"224"	7914324	"SNORD103B///SNORD103A"	"small nucleolar RNA, C/D box 103B///small nucleolar RNA, C/D box 103A"	-0.803	3.197
"225"	7915091	"MTF1"	"metal regulatory transcription factor 1"	-0.86	3.494
"228"	7916808	"SLC35D1"	"solute carrier family 35 member D1"	-1.143	3.217
"229"	7916928	"ANKRD13C"	"ankyrin repeat domain 13C"	-0.873	3.318
"230"	7917052	"SLC44A5"	"solute carrier family 44 member 5"	-2.94	5.375
"231"	7918034	"DPH5"	"diphthamide biosynthesis 5"	-0.837	3.599
"233"	7919197	"POLR3GL"	"RNA polymerase III subunit G like"	-1.01	3.675
"235"	7919787	"HORMAD1"	"HORMA domain containing 1"	-5.993	8.118
"236"	7921434	"AIM2"	"absent in melanoma 2"	-3.21	3.479
"237"	7922870	"TRMT1L"	"tRNA methyltransferase 1 like"	-1.147	3.167
"238"	7927146	"CSGALNACT2"	"chondroitin sulfate N-acetylgalactosaminyltransferase 2"	-1.05	3.184
"239"	7927267	"FAM35DP///FAM35BP///FAM35A"	"family with sequence similarity 35, member A pseudogene///family with sequence similarity 35, member A pseudogene///family with sequence similarity 35 member A"	-1.013	3.307
"240"	7927288	"FAM35DP///FAM35BP///FAM35A"	"family with sequence similarity 35, member A pseudogene///family with sequence similarity 35, member A pseudogene///family with sequence similarity 35 member A"	-1.033	3.657
"241"	7927599	"ASAH2B///ASAH2"	"N-acylsphingosine amidohydrolase 2B///N-acylsphingosine amidohydrolase 2"	-1.183	3.318
"242"	7930208	"INA"	"internexin neuronal intermediate filament protein alpha"	5.043	3.819
"243"	7934920	"LIPA"	"lipase A, lysosomal acid type"	-0.947	3.185
"245"	7942064	"GAL"	"galanin and GMAP prepropeptide"	2.453	4.433
"246"	7942520	"LOC100287896"	"uncharacterized LOC100287896"	-1.043	4.11
"247"	7943231	"ANKRD49"	"ankyrin repeat domain 49"	-1.43	3.811
"248"	7944913	"CCDC15"	"coiled-coil domain containing 15"	-1.087	3.164
"249"	7947147	"SVIP"	"small VCP interacting protein"	2.817	6.531
"250"	7949410	"MALAT1"	"metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)"	-1.277	3.356
"252"	7951032	"SNORA1///TAF1D"	"small nucleolar RNA, H/ACA box 1///TATA-box binding protein associated factor, RNA polymerase I subunit D"	-1.6	4.285
"253"	7951077	"SESN3"	"sestrin 3"	-0.9	3.144
"254"	7953264	"KCNA6"	"potassium voltage-gated channel subfamily A member 6"	0.787	3.417
"255"	7954460	"LYRM5"	"LYR motif containing 5"	-1.45	4.485
"256"	7954511	"STK38L"	"serine/threonine kinase 38 like"	-1.22	3.376
"257"	7954711	"KIAA1551"	"KIAA1551"	-1.173	3.26
