"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3917","Rvnt14",6.28692307955555,5.59405284192308,12.4593094810883,5.32357290663087e-10,2.80458098396588e-06,12.7051683429036
"2801","Rv3461c",-5.22077377830555,3.43274510023077,-11.924707366916,1.04648544177831e-09,2.80458098396588e-06,12.1255574804106
"4873",NA,-3.29159995005555,2.92701666307692,-9.78124117771553,2.04583940991817e-08,3.65523307905379e-05,9.48825842119849
"5062",NA,-2.36319642822222,3.04523546730769,-9.47424347754023,3.25477041070828e-08,3.69616060313031e-05,9.06504402450868
"279","Rv1228a",-3.83596165805556,3.25291655923077,-9.43660784487728,3.44791101038275e-08,3.69616060313031e-05,9.01231146923454
"155","Rv0108c",-3.23624641038889,1.92439383838462,-8.7563146042022,1.00550008507483e-07,8.68113304582938e-05,8.02613982534143
"2603","Rv3281",-2.21591923977778,3.66338844676923,-8.68213851209943,1.13373006195533e-07,8.68113304582938e-05,7.91474619890846
"5191",NA,-1.59056061641666,3.13709013392308,-8.5096529701264,1.50264234211104e-07,9.58509602222941e-05,7.65270434241226
"4786",NA,1.87820886547222,2.14991053907692,8.46795188376957,1.60943776492658e-07,9.58509602222941e-05,7.58871465024633
"4645",NA,-1.58794684519445,4.44941092784615,-8.11789941013349,2.88880670222974e-07,0.000154840039239514,7.04165501037868
"1636","Rv2428",-3.08617089877778,2.628814999,-7.92943042522359,3.98388293358158e-07,0.000187430061893148,6.73969138766205
"3818","Rvnt12",5.25795295233333,5.84876339869231,7.8992354725478,4.19619541551823e-07,0.000187430061893148,6.69082480348097
"4714",NA,-2.59559812602778,4.68292687546154,-7.63745538252046,6.61485660085334e-07,0.000272735626004415,6.26146765816706
"2209","Rv0288",-2.08396096263889,3.54583741484615,-7.53567250593268,7.91470371113076e-07,0.000303020084940435,6.09175344227432
"5244",NA,-1.84823395383333,4.59393758607692,-7.36188965034538,1.07857568304568e-06,0.000385411044074991,5.79837001463771
"4145",NA,-1.71863123141667,3.662031371,-7.11407840458802,1.68878716206881e-06,0.000565743699293052,5.37208870511676
"4287",NA,-1.55121718961111,2.52371376469231,-7.02033884669887,2.00527586865261e-06,0.000632251685645765,5.20840559682
"4897",NA,-1.53072475058333,4.48583822161538,-6.97642177948693,2.17421392099512e-06,0.000647432589807436,5.13126014378751
"4860",NA,-1.33688664583333,4.06139447684615,-6.93145496116743,2.36258891090319e-06,0.000650687668177706,5.05196680379416
"4146",NA,-4.03016491786111,5.57784978784615,-6.91672148746055,2.42793906036457e-06,0.000650687668177706,5.02591931844511
"3870","Rvnt02",2.72030978544444,3.52977559292308,6.72836080711828,3.45033990035128e-06,0.00088065818408966,4.69001048567863
"2742","Rv3407",-1.29702586808333,1.84742846715385,-6.67221633765203,3.83496053794466e-06,0.000934335840153791,4.58884663802015
"4932",NA,-1.89563552058333,2.88278340653846,-6.64618185937012,4.02817073862135e-06,0.000938738919956975,4.54177483524084
"1255","Rv2094c",-2.96803997283333,3.49940722523077,-6.57278299643953,4.62921471248981e-06,0.00103385795245606,4.4085154443578
"140","Rv1103c",-1.58334298711111,2.81307514046154,-6.49215986978657,5.39782615794161e-06,0.00115729392826268,4.26120673942168
"2232","Rv2957",-0.996521621027778,1.18158525246154,-6.46308386283162,5.70652942969456e-06,0.00117642299012165,4.20784225305
"222","Rv1177",-2.42308618822222,2.33620570476923,-6.40476811594176,6.38211707128492e-06,0.00126696842600323,4.10043236783744
"4041",NA,0.908962065166666,2.20455816623077,6.31245221411363,7.62602445995114e-06,0.00145983896804779,3.92936521065429
"3005","Rv3648c",-1.48237420925,1.65031519130769,-6.29260372889957,7.9248447027552e-06,0.00146472991747475,3.89242001000554
