"label","Clade"
"pdb|9VLT","1"
"pdb|9Q3U","1"
"pdb|9NVG","2"
"pdb|9YYV","3"
"pdb|9LVI","4"
"pdb|9LDJ","5"
"pdb|9YPR","5"
"pdb|9YNR","5"
"sp|P0DTC","6"
"YDZ80288","7"
"YDN94899","8"
"YDZ79599","7"
"YDZ79433","7"
"YDZ80065","7"
"YDZ81663","7"
"YDZ81821","7"
"YDZ81096","7"
"YDT71553","7"
"YDZ79377","7"
"YDZ79751","7"
"YDZ80390","7"
"YDZ80593","7"
"YDZ79943","7"
"YDZ82956","7"
"YDZ77376","7"
"YDZ79332","7"
"YDZ79106","7"
"YDZ81810","7"
"YDZ81696","7"
"YDZ79698","7"
"YDZ79976","7"
"YDZ80200","7"
"YDZ80233","7"
"YDZ81320","7"
"YDZ79577","7"
"YDZ80582","7"
"YDZ81220","7"
"YDZ80527","7"
"YDZ79610","7"
"YDZ79388","7"
"YDZ81231","7"
"YDZ82428","7"
"YDZ80908","7"
"YDZ81331","7"
"YDZ80886","7"
"YDZ82910","7"
"YDZ80897","7"
"YDZ82213","7"
"YDZ80985","7"
"YDZ79709","7"
"YDZ81487","7"
"YDZ80672","7"
"YDZ79466","7"
"YDZ79954","7"
"YDZ79287","7"
"YDZ79027","7"
"YDZ79221","7"
"YDZ79511","7"
"YDZ79762","7"
"YDZ79399","7"
"YDZ79005","7"
"YDZ79016","7"
"YDZ79320","7"
"YDZ81575","7"
"YDZ80571","7"
"YDZ78748","8"
"YDN94791","8"
"YDN94695","8"
"YDN94587","8"
"YDN94313","8"
"YDN94659","8"
"YDN94827","8"
"YDN95077","8"
"YDN95006","8"
"YDO76983","9"
"YDO76947","9"
"YDO76899","9"
"YDO77211","9"
"YDO77187","9"
"YDO76683","9"
"YDO76647","9"
"YDO76659","9"
"YDO77103","9"
"YDO76923","9"
"YDO76731","9"
"YDO76791","9"
"YDO76887","9"
"YDO77151","9"
"YDO77007","9"
"YDU54235","10"
"YDU54043","9"
"YDU53923","9"
"YDU53947","9"
"YDP42808","11"
"YDU54055","10"
"YDU54067","10"
"YDU54247","10"
"YDU54115","10"
"YDU54127","10"
"YDU54211","10"
"YDU54295","10"
"YDU54283","10"
"YDU53959","10"
"YDU54007","10"
"YDU54163","10"
"YDU54031","10"
"YDU53935","10"
"YDZ83955","10"
"YDP30615","12"
"YDO02883","13"
"YDZ58290","13"
"YDO74267","13"
"YDS29728","13"
"YDX57036","13"
"YDZ59863","13"
"YDZ83859","13"
"YDZ83907","13"
"YDZ58856","13"
"YDP92909","13"
"YDP32862","13"
"YDP29695","13"
"YDP44835","13"
"YDP33674","13"
"YDP42748","13"
"YDP45695","13"
"YDP46493","13"
"YDP46789","13"
"YDP50009","13"
"YDQ40564","13"
"YDQ40372","13"
"YDP32109","12"
"YDP38584","12"
"YDP43893","12"
"YDQ43020","12"
"YDP48829","12"
"YDP33734","12"
"YDP34267","12"
"YDP34953","12"
"YDP39675","12"
"YDP47730","12"
"YDP49258","12"
"YDP47861","12"
"YDQ42482","12"
"YDQ42306","12"
"YDP33233","12"
"YDP40776","12"
"YDP51415","12"
"YDP34112","12"
"YDP50343","12"
"YDQ43957","12"
"YDQ43280","12"
"YDP40081","12"
"YDS29872","12"
"YDP35428","12"
"YDV56779","12"
"YDX39812","12"
"YDQ45200","12"
"YDP37175","13"
"YDP33580","12"
"YDP33592","12"
"YDP38405","12"
"YDP38069","12"
"YDP39496","12"
"YDP47980","12"
"YDP50879","12"
"YDP42378","12"
"YDP45623","12"
"YDP30041","12"
"YDP33508","12"
"YDP34456","12"
"YDP35108","12"
"YDP36541","12"
"YDP37771","12"
"YDP45838","12"
"YDP48040","12"
"YDP49329","12"
"BHU44883","12"
"YDQ44999","12"
"YDP43323","10"
"YDO86790","10"
"YDV56979","10"
"YDU87737","10"
"YDQ44016","10"
"YDP30579","10"
"YDO74454","10"
"YDQ43980","10"
"YDS30051","10"
"YDX39836","10"
"YDZ58266","10"
"YDQ44477","10"
"YDQ44100","10"
"YDZ58987","10"
"YDZ58963","10"
"YDZ58927","10"
"YDZ58659","10"
"YDZ58492","10"
"YDZ58218","10"
"YDX57345","10"
"YDX57108","10"
"YDV57063","10"
"YDV56612","10"
"YDV56516","10"
"YDV08941","10"
"YDV08905","10"
"YDV08835","10"
"YDS75330","10"
"YDS29836","10"
"YDS29740","10"
"YDS29299","10"
"YDQ45244","10"
"YDQ44612","10"
"YDQ44465","10"
"YDO78133","10"
"YDO74278","10"
"YDO74243","10"
"YDO74008","10"
"YDO02860","10"
"YDY11505","10"
"YDY11459","10"
"YDS75286","10"
"YDP30651","10"
"YDP31953","10"
"YDQ44241","10"
"YDV08823","10"
"YDX57263","10"
"YDZ58444","10"
"YDZ84087","10"
"YDQ44361","10"
"YDO74255","10"
"YDP47288","10"
"YDO02728","10"
"YDZ84039","10"
"YDZ59933","10"
"YDS29788","10"
